group,eid,index,used.in.pca
0,999,83682,1
1,999,149981,1
0,999,121678,0
1,999,367538,1
0,999,148313,0
1,999,137866,1
1,999,32120,1
0,999,49591,1
1,999,185681,0
0,999,259776,1
1,999,154816,0
0,999,477226,1
0,999,326918,0
1,999,61644,0
1,999,214035,1
0,999,326437,1
1,999,460836,0
0,999,464506,1
1,999,450956,1
0,999,169567,0
1,999,58852,1
0,999,30959,0
1,999,181466,1
0,999,254619,1
1,999,312634,1
0,999,126419,1
1,999,114030,1
0,999,122913,1
1,999,234976,1
1,999,433276,1
0,999,115698,1
0,999,227486,1
0,999,159086,1
1,999,90258,1
1,999,426604,0
0,999,139001,1
0,999,18166,1
0,999,154342,1
1,999,184278,1
0,999,54368,1
0,999,174281,1
0,999,26536,1
1,999,413270,1
1,999,481470,1
0,999,94107,1
0,999,399365,1
0,999,226986,1
1,999,148848,1
0,999,18175,1
1,999,362044,1
0,999,100219,1
1,999,217797,1
0,999,13879,1
0,999,53381,1
1,999,226044,1
1,999,396148,1
1,999,412915,1
1,999,136903,1
0,999,297385,1
0,999,416039,1
1,999,86532,1
0,999,68960,1
0,999,463408,1
1,999,69948,1
1,999,224277,1
0,999,134195,0
1,999,342982,1
0,999,318455,1
0,999,215051,1
1,999,227175,1
0,999,160898,1
1,999,444189,1
1,999,288760,1
0,999,153111,1
1,999,137495,1
0,999,184342,0
1,999,256510,1
0,999,372413,1
1,999,100867,1
1,999,461329,0
1,999,34823,0
1,999,486908,1
1,999,94649,1
0,999,161560,1
0,999,210372,1
0,999,155296,1
1,999,155057,1
1,999,337502,0
1,999,27338,1
1,999,26049,1
0,999,80333,1
1,999,58776,1
1,999,218589,1
0,999,100956,1
1,999,227445,0
1,999,33999,1
1,999,300689,1
0,999,128883,1
1,999,348355,1
0,999,97738,1
0,999,131032,1
1,999,450392,1
1,999,274691,1
1,999,198894,1
1,999,404936,1
0,999,247991,1
0,999,404521,1
1,999,234168,0
1,999,94431,1
1,999,219381,1
1,999,3653,1
0,999,85633,1
0,999,447719,1
1,999,345665,1
0,999,441585,1
0,999,304126,1
0,999,240208,1
1,999,105866,1
0,999,285637,1
1,999,148543,1
0,999,303143,1
1,999,49850,1
0,999,5848,1
1,999,201531,1
0,999,486446,1
1,999,175807,1
0,999,451032,1
1,999,258916,1
0,999,139121,1
1,999,240620,0
0,999,136333,1
0,999,179580,1
0,999,281649,1
0,999,192918,1
1,999,347732,1
1,999,302171,1
0,999,345602,1
1,999,70535,1
1,999,277489,1
0,999,192531,1
0,999,425175,1
1,999,140806,1
1,999,146554,1
1,999,436856,1
1,999,399986,1
0,999,418502,0
0,999,1487,1
0,999,13874,1
0,999,371721,1
1,999,331218,1
1,999,396819,1
0,999,470467,1
1,999,407204,0
1,999,49589,1
1,999,232371,1
0,999,230094,1
0,999,446201,0
0,999,417254,1
0,999,31448,1
0,999,293373,1
0,999,184850,0
0,999,451713,1
1,999,391582,1
0,999,13705,1
0,999,484012,1
1,999,173579,1
0,999,412856,1
1,999,21078,1
0,999,141895,1
0,999,471669,1
0,999,241155,0
0,999,110031,1
1,999,200133,1
0,999,141431,1
0,999,259067,1
0,999,85573,1
0,999,362862,1
0,999,11723,1
1,999,216417,0
1,999,434161,1
1,999,92136,1
0,999,224923,1
1,999,44555,1
0,999,187695,1
1,999,481574,1
0,999,76887,0
0,999,79418,1
1,999,228330,0
0,999,330399,0
1,999,181144,1
0,999,22016,1
0,999,212159,0
1,999,283290,1
0,999,293956,1
0,999,318613,1
1,999,115722,1
1,999,92639,1
0,999,221444,1
0,999,392396,1
0,999,403294,1
1,999,379571,0
1,999,438400,1
0,999,151679,1
0,999,420395,1
0,999,428505,1
0,999,408131,1
0,999,210903,0
0,999,198848,1
0,999,304006,1
0,999,234416,1
1,999,6090,1
1,999,385465,1
1,999,40919,1
0,999,450809,1
1,999,99516,1
1,999,91745,0
1,999,346538,1
1,999,96449,1
0,999,395090,1
0,999,363846,1
1,999,123542,0
1,999,67329,0
0,999,354233,1
1,999,204663,0
0,999,45755,1
1,999,113918,1
1,999,254553,0
0,999,16093,0
1,999,220800,0
0,999,24642,1
0,999,101478,1
0,999,385022,0
1,999,10034,1
1,999,325254,1
0,999,129171,1
1,999,346734,1
0,999,400278,1
1,999,379148,0
1,999,181320,1
0,999,223144,1
0,999,300490,1
1,999,80423,1
1,999,379408,1
1,999,484726,1
1,999,391197,1
0,999,213943,1
1,999,418403,1
0,999,372036,1
0,999,2073,1
1,999,325373,0
1,999,147678,1
0,999,40521,1
0,999,154184,1
1,999,1593,1
0,999,286435,0
1,999,482030,1
1,999,325877,1
1,999,457137,0
0,999,355402,1
1,999,171811,1
1,999,386581,0
0,999,346259,1
1,999,82443,1
1,999,100381,0
0,999,129987,0
1,999,399422,1
1,999,343133,1
1,999,378234,1
0,999,98680,1
0,999,123597,1
1,999,124668,0
1,999,472437,1
0,999,384075,1
0,999,93467,1
0,999,444019,1
1,999,83518,1
0,999,100636,1
1,999,38314,1
0,999,325166,1
0,999,64168,1
1,999,117158,1
0,999,179445,1
1,999,129438,1
1,999,232728,1
1,999,24188,1
1,999,466211,1
0,999,160691,1
1,999,59961,1
1,999,126301,1
1,999,315964,1
0,999,318489,1
1,999,357889,1
0,999,41649,1
1,999,62025,1
1,999,222290,1
0,999,239958,0
0,999,6027,1
1,999,165368,1
1,999,399191,0
0,999,297941,0
1,999,468623,1
1,999,8607,1
0,999,298495,1
1,999,323475,1
0,999,110637,1
1,999,474896,1
1,999,443903,1
0,999,402138,1
0,999,131273,1
1,999,441041,1
1,999,380717,1
1,999,395379,1
0,999,14079,1
0,999,12464,1
1,999,195158,1
0,999,463909,1
1,999,351522,1
1,999,67422,1
0,999,325910,1
0,999,333233,1
0,999,80549,0
0,999,255241,1
0,999,105387,1
0,999,296974,1
0,999,80487,0
1,999,323054,0
0,999,167787,1
1,999,109894,1
0,999,406263,0
1,999,349676,0
0,999,219496,1
0,999,8382,1
0,999,28704,1
1,999,181918,1
0,999,256613,1
1,999,190804,1
1,999,396735,0
1,999,357201,1
0,999,284847,1
0,999,366255,1
0,999,289991,1
0,999,363360,0
0,999,309328,1
1,999,122934,1
0,999,325345,1
0,999,395864,1
1,999,256983,1
0,999,103616,1
1,999,355038,1
1,999,371672,1
0,999,74661,0
0,999,44858,1
0,999,261521,1
1,999,206496,1
