group,eid,index,used.in.pca
0,999,328804,1
0,999,436021,1
1,999,295148,1
0,999,315594,1
0,999,475454,1
1,999,410808,1
0,999,111863,1
1,999,122526,1
1,999,288594,1
0,999,179086,1
1,999,98326,1
1,999,448517,1
0,999,321994,1
0,999,478648,1
0,999,445293,1
0,999,459442,1
1,999,40979,1
0,999,35351,1
0,999,101281,1
1,999,11509,1
0,999,187999,1
0,999,393783,1
1,999,356732,1
0,999,136228,1
1,999,384565,1
0,999,127592,1
1,999,325592,1
0,999,163322,1
0,999,392966,1
0,999,270712,1
1,999,159231,1
1,999,140395,1
1,999,407731,1
1,999,22289,1
1,999,341355,1
1,999,440414,1
0,999,451998,1
0,999,381191,1
0,999,41028,1
0,999,258226,1
1,999,229450,1
1,999,454631,1
0,999,165361,1
1,999,376985,1
0,999,487282,1
1,999,303860,1
1,999,274603,1
0,999,19008,1
0,999,470033,1
0,999,308043,1
0,999,124887,1
1,999,428623,1
1,999,361090,1
1,999,461623,1
0,999,51998,1
0,999,263860,1
1,999,5438,1
0,999,452202,1
0,999,132322,1
0,999,11930,1
0,999,224907,1
0,999,383208,1
0,999,96337,1
0,999,10117,1
0,999,184647,1
0,999,314587,1
0,999,190948,1
1,999,253831,1
0,999,9472,1
0,999,469844,1
1,999,482187,1
1,999,302515,1
0,999,184162,1
1,999,138217,1
0,999,452296,1
1,999,359519,1
1,999,172512,1
0,999,258488,1
0,999,413171,1
0,999,11285,1
1,999,206200,1
1,999,68422,1
1,999,432468,1
0,999,464693,1
1,999,46125,1
1,999,344451,1
1,999,345268,1
0,999,467713,1
0,999,466284,1
0,999,241964,1
0,999,148329,1
1,999,31864,1
0,999,163700,1
1,999,395307,1
0,999,113289,1
1,999,323864,1
1,999,287719,1
1,999,425239,1
1,999,393332,1
1,999,386068,1
0,999,399838,1
0,999,468838,1
1,999,104517,1
1,999,329127,1
1,999,343300,1
0,999,218237,1
1,999,383893,1
0,999,111220,1
1,999,377552,1
0,999,431173,1
0,999,89767,1
0,999,69692,1
0,999,405657,1
1,999,356195,1
1,999,353748,1
1,999,207379,1
1,999,321915,1
0,999,86593,1
1,999,366548,1
0,999,81326,1
0,999,420882,1
1,999,461009,1
0,999,369472,1
0,999,443904,1
1,999,409819,1
0,999,217895,1
1,999,42318,1
0,999,52669,1
0,999,395389,1
0,999,203184,1
1,999,299386,1
1,999,54322,1
0,999,412116,1
0,999,80919,1
1,999,30039,1
1,999,50216,1
1,999,162127,1
1,999,153264,1
0,999,486844,1
1,999,459782,1
1,999,417739,1
1,999,91190,1
0,999,283933,1
1,999,199752,1
1,999,290013,1
0,999,403675,1
1,999,169869,1
1,999,27909,1
0,999,462606,1
0,999,189985,1
0,999,173515,1
0,999,297488,1
1,999,2629,1
1,999,331672,1
1,999,158143,1
1,999,218756,1
1,999,54214,1
1,999,210482,1
0,999,427037,1
0,999,266918,1
0,999,241017,1
1,999,77589,1
1,999,317931,1
1,999,73228,1
1,999,255744,1
1,999,119863,1
1,999,79430,1
1,999,418980,1
1,999,340553,1
1,999,329702,1
1,999,480861,1
0,999,14390,1
0,999,390929,1
0,999,461737,1
1,999,165504,1
1,999,105586,1
0,999,63105,1
1,999,31697,1
1,999,409080,1
1,999,197621,1
0,999,78647,1
0,999,357144,1
1,999,386204,1
0,999,36553,1
0,999,136149,1
1,999,176769,1
1,999,207753,1
1,999,406464,1
0,999,240092,1
1,999,343907,1
0,999,351491,1
1,999,211551,1
1,999,25742,1
0,999,474706,1
1,999,254099,1
1,999,480118,1
1,999,234738,1
0,999,445640,1
1,999,104712,1
1,999,281574,1
1,999,386937,1
0,999,398120,1
1,999,246335,1
0,999,55897,1
0,999,390181,1
0,999,407301,1
0,999,478927,1
0,999,247309,1
0,999,86521,1
0,999,422255,1
0,999,107756,1
0,999,23322,1
1,999,420489,1
0,999,16472,1
1,999,335501,1
0,999,286796,1
0,999,43152,1
1,999,275628,1
1,999,432823,1
0,999,303002,1
0,999,241189,1
0,999,367848,1
1,999,472810,1
0,999,132258,1
1,999,198758,1
0,999,344649,1
1,999,417911,1
1,999,346019,1
1,999,16027,1
0,999,376903,1
1,999,9681,1
0,999,41261,1
1,999,288609,1
0,999,456313,1
1,999,224054,1
0,999,447680,1
0,999,47566,1
1,999,298850,1
1,999,236296,1
0,999,206225,1
0,999,193401,1
0,999,241756,1
0,999,195255,1
1,999,174163,1
1,999,177890,1
1,999,251598,1
1,999,401054,1
1,999,349717,1
0,999,281777,1
0,999,1951,1
0,999,60634,1
0,999,292890,1
0,999,343980,1
0,999,19917,1
1,999,458658,1
0,999,129890,1
1,999,459398,1
1,999,402438,1
1,999,391711,1
0,999,310330,1
1,999,63659,1
0,999,66142,1
0,999,129602,1
1,999,234981,1
0,999,50014,1
1,999,210622,1
1,999,440375,1
0,999,132169,1
1,999,388462,1
0,999,119045,1
0,999,218805,1
0,999,224315,1
0,999,245530,1
0,999,132934,1
0,999,56458,1
1,999,166702,1
0,999,415894,1
1,999,377044,1
1,999,122918,1
1,999,362106,1
0,999,210837,1
0,999,3595,1
0,999,334326,1
1,999,416010,1
1,999,439291,1
0,999,408465,1
1,999,378334,1
0,999,458229,1
1,999,403540,1
0,999,186979,1
0,999,201968,1
1,999,257621,1
0,999,181937,1
1,999,76672,1
0,999,434905,1
0,999,340169,1
1,999,411329,1
1,999,412400,1
0,999,48310,1
1,999,12910,1
0,999,103263,1
0,999,344595,1
1,999,171529,1
1,999,66684,1
0,999,94973,1
1,999,157190,1
0,999,107598,1
0,999,83436,1
0,999,479765,1
0,999,187622,1
1,999,386141,1
1,999,359028,1
1,999,275026,1
1,999,216586,1
1,999,409385,1
1,999,270895,1
1,999,441069,1
0,999,175706,1
1,999,269419,1
0,999,410745,1
0,999,438975,1
1,999,179335,1
1,999,291599,1
0,999,200830,1
0,999,107151,1
0,999,435477,1
0,999,13490,1
1,999,211006,1
1,999,59974,1
0,999,247547,1
1,999,221407,1
1,999,35725,1
1,999,242131,1
1,999,379236,1
1,999,400429,1
1,999,155664,1
1,999,294890,1
1,999,228793,1
0,999,350886,1
0,999,485282,1
0,999,379829,1
0,999,1259,1
0,999,54401,1
0,999,342594,1
0,999,12880,1
0,999,425871,1
1,999,392760,1
0,999,371965,1
0,999,286366,1
0,999,420338,1
1,999,153361,1
0,999,188142,1
1,999,415541,1
0,999,350940,1
0,999,213833,1
0,999,424165,1
1,999,51552,1
1,999,250690,1
1,999,229157,1
1,999,219074,1
0,999,179452,1
0,999,90637,1
1,999,32398,1
1,999,471299,1
0,999,452868,1
1,999,476087,1
1,999,81177,1
1,999,105185,1
1,999,140776,1
1,999,83018,1
1,999,340414,1
1,999,233087,1
0,999,828,1
1,999,79798,1
0,999,277443,1
0,999,132177,1
0,999,461718,1
0,999,335729,1
0,999,39399,1
1,999,163995,1
0,999,433964,1
1,999,181054,1
0,999,248512,1
0,999,317559,1
1,999,415789,1
0,999,22864,1
0,999,345274,1
0,999,261126,1
1,999,278372,1
1,999,346130,1
0,999,108172,1
1,999,46465,1
1,999,64686,1
1,999,260157,1
1,999,462521,1
1,999,123322,1
1,999,110709,1
1,999,189632,1
0,999,361078,1
0,999,388424,1
1,999,84050,1
0,999,215040,1
1,999,15195,1
0,999,152809,1
0,999,115553,1
1,999,447786,1
0,999,95937,1
0,999,243693,1
1,999,365656,1
1,999,360776,1
0,999,418076,1
0,999,32864,1
1,999,14669,1
1,999,355643,1
1,999,9386,1
1,999,231073,1
1,999,368887,1
0,999,134479,1
0,999,248875,1
1,999,234311,1
1,999,139215,1
0,999,174630,1
0,999,166162,1
0,999,388697,1
0,999,482951,1
0,999,104790,1
0,999,35198,1
0,999,282183,1
1,999,214375,1
0,999,30294,1
0,999,226780,1
1,999,178751,1
0,999,258624,1
0,999,167315,1
1,999,276396,1
1,999,114436,1
0,999,269051,1
1,999,20674,1
1,999,432773,1
0,999,79822,1
0,999,7658,1
1,999,287973,1
0,999,295022,1
0,999,330616,1
1,999,364479,1
1,999,158646,1
1,999,452430,1
0,999,369935,1
0,999,275538,1
1,999,473990,1
1,999,202842,1
1,999,349721,1
0,999,46468,1
1,999,151638,1
0,999,37694,1
1,999,187463,1
0,999,171983,1
0,999,83754,1
1,999,150147,1
0,999,121816,1
1,999,368211,1
0,999,148479,1
1,999,138021,1
1,999,32135,1
0,999,49611,1
1,999,185892,1
0,999,260164,1
1,999,154988,1
0,999,478189,1
0,999,327467,1
1,999,61669,1
1,999,214288,1
0,999,326985,1
1,999,461796,1
0,999,465466,1
1,999,451913,1
0,999,169756,1
1,999,58877,1
0,999,30974,1
1,999,181674,1
0,999,255004,1
1,999,313155,1
0,999,126564,1
1,999,114154,1
0,999,123055,1
1,999,235264,1
1,999,434108,1
0,999,115826,1
0,999,227763,1
0,999,159260,1
1,999,90348,1
1,999,427415,1
0,999,139158,1
0,999,18173,1
0,999,154513,1
1,999,184488,1
0,999,54391,1
0,999,174474,1
0,999,26549,1
1,999,414038,1
1,999,482434,1
0,999,94200,1
0,999,400108,1
0,999,227263,1
1,999,149014,1
0,999,18182,1
1,999,362694,1
0,999,100323,1
1,999,218053,1
0,999,13883,1
0,999,53402,1
1,999,226319,1
1,999,396887,1
1,999,413683,1
1,999,137057,1
0,999,297861,1
0,999,416815,1
1,999,86610,1
0,999,68989,1
0,999,464368,1
1,999,69979,1
1,999,224547,1
0,999,134348,1
1,999,343577,1
0,999,318987,1
0,999,215305,1
1,999,227452,1
0,999,161077,1
1,999,445146,1
1,999,289213,1
0,999,153279,1
1,999,137649,1
0,999,184552,1
1,999,256897,1
0,999,373090,1
1,999,100973,1
1,999,462289,1
1,999,34840,1
1,999,487875,1
1,999,94742,1
0,999,161741,1
0,999,210621,1
0,999,155468,1
1,999,155229,1
1,999,338085,1
1,999,27351,1
1,999,26062,1
0,999,80401,1
1,999,58801,1
1,999,218846,1
0,999,101062,1
1,999,227722,1
1,999,34016,1
1,999,301171,1
0,999,129029,1
1,999,348964,1
0,999,97839,1
0,999,131180,1
1,999,451349,1
1,999,275111,1
1,999,199127,1
1,999,405685,1
0,999,248348,1
0,999,405270,1
1,999,234454,1
1,999,94524,1
1,999,219639,1
1,999,3653,1
0,999,85710,1
0,999,448676,1
1,999,346267,1
0,999,442538,1
0,999,304617,1
0,999,240530,1
1,999,105978,1
0,999,286084,1
1,999,148709,1
0,999,303632,1
1,999,49870,1
0,999,5848,1
1,999,201765,1
0,999,487413,1
1,999,176005,1
0,999,451989,1
1,999,259304,1
0,999,139278,1
1,999,240952,1
0,999,136486,1
0,999,179785,1
0,999,282086,1
0,999,193141,1
1,999,348338,1
1,999,302659,1
0,999,346204,1
1,999,70566,1
1,999,277912,1
0,999,192753,1
0,999,425982,1
1,999,140964,1
1,999,146718,1
1,999,437803,1
1,999,400730,1
0,999,419294,1
0,999,1486,1
0,999,13878,1
0,999,372397,1
1,999,331781,1
1,999,397560,1
0,999,471429,1
1,999,407954,1
1,999,49609,1
1,999,232653,1
0,999,230375,1
0,999,447158,1
0,999,418033,1
0,999,31463,1
0,999,293838,1
0,999,185060,1
0,999,452670,1
1,999,392309,1
0,999,13709,1
0,999,484978,1
1,999,173772,1
0,999,413624,1
1,999,21089,1
0,999,142054,1
0,999,472631,1
0,999,241497,1
0,999,110148,1
1,999,200366,1
0,999,141589,1
0,999,259455,1
0,999,85649,1
0,999,363515,1
0,999,11727,1
1,999,216672,1
1,999,435014,1
1,999,92228,1
0,999,225193,1
1,999,44574,1
0,999,187909,1
1,999,482538,1
0,999,76936,1
0,999,79485,1
1,999,228608,1
0,999,330959,1
1,999,181352,1
0,999,22028,1
0,999,212410,1
1,999,283729,1
0,999,294422,1
0,999,319145,1
1,999,115850,1
1,999,92732,1
0,999,221705,1
0,999,393126,1
0,999,404043,1
1,999,380268,1
1,999,439352,1
0,999,151846,1
0,999,421192,1
0,999,429321,1
0,999,408883,1
0,999,211153,1
0,999,199081,1
0,999,304497,1
0,999,234702,1
1,999,6090,1
1,999,386178,1
1,999,40936,1
0,999,451766,1
1,999,99619,1
1,999,91837,1
1,999,347141,1
1,999,96543,1
0,999,395824,1
0,999,364500,1
1,999,123684,1
1,999,67358,1
0,999,354858,1
1,999,204899,1
0,999,45775,1
1,999,114042,1
1,999,254938,1
0,999,16099,1
1,999,221061,1
0,999,24655,1
0,999,101585,1
0,999,385733,1
1,999,10036,1
1,999,325799,1
0,999,129317,1
1,999,347337,1
0,999,401023,1
1,999,379844,1
1,999,181528,1
0,999,223408,1
0,999,300972,1
1,999,80491,1
1,999,380105,1
1,999,485692,1
1,999,391923,1
0,999,214196,1
1,999,419195,1
0,999,372712,1
0,999,2073,1
1,999,325918,1
1,999,147843,1
0,999,40538,1
0,999,154354,1
1,999,1592,1
0,999,286884,1
1,999,482994,1
1,999,326423,1
1,999,458095,1
0,999,356031,1
1,999,172003,1
1,999,387296,1
0,999,346861,1
1,999,82512,1
1,999,100486,1
0,999,130134,1
1,999,400165,1
1,999,343730,1
1,999,378928,1
0,999,98783,1
0,999,123739,1
1,999,124811,1
1,999,473399,1
0,999,384785,1
0,999,93560,1
0,999,444976,1
1,999,83590,1
0,999,100742,1
1,999,38331,1
0,999,325711,1
0,999,64196,1
1,999,117287,1
0,999,179649,1
1,999,129584,1
1,999,233011,1
1,999,24201,1
1,999,467172,1
0,999,160870,1
1,999,59986,1
1,999,126446,1
1,999,316493,1
0,999,319021,1
1,999,358524,1
0,999,41666,1
1,999,62052,1
1,999,222554,1
0,999,240272,1
0,999,6027,1
1,999,165551,1
1,999,399934,1
0,999,298418,1
1,999,469585,1
1,999,8608,1
0,999,298972,1
1,999,324016,1
0,999,110754,1
1,999,475859,1
1,999,444860,1
0,999,402886,1
0,999,131421,1
1,999,441994,1
1,999,381418,1
1,999,396113,1
0,999,14083,1
0,999,12468,1
1,999,195384,1
0,999,464869,1
1,999,352142,1
1,999,67451,1
0,999,326456,1
0,999,333801,1
0,999,80617,1
0,999,255626,1
0,999,105498,1
0,999,297450,1
0,999,80555,1
1,999,323595,1
0,999,167972,1
1,999,110011,1
0,999,407013,1
1,999,350292,1
0,999,219754,1
0,999,8382,1
0,999,28718,1
1,999,182126,1
0,999,257000,1
1,999,191023,1
1,999,397476,1
1,999,357835,1
0,999,285292,1
0,999,366925,1
0,999,290447,1
0,999,364013,1
0,999,309839,1
1,999,123076,1
0,999,325890,1
0,999,396601,1
1,999,257370,1
0,999,103726,1
1,999,355666,1
1,999,372348,1
0,999,74705,1
0,999,44877,1
0,999,261910,1
1,999,206738,1
